idx,pair,direction,entries,entry_avg,targets,stop_loss,stop_loss_percent,rr_first_target,skipped,warnings
233,WAL/USDT,LONG,[0.428],0.428,"[0.47, 0.51, 0.55]",0.4,,1.5,False,[]
234,,,[],,[],,,,False,"[""PARSE_FAILED""]"
235,PERP/USDT,LONG,[],,"[0.6269, 0.6409, 0.6511, 0.6556, 0.6606, 0.6678, 0.675, 0.684]",,,,False,[]
236,AVAX/USDT,LONG,[16.1],16.1,"[16.3, 16.6, 17.1, 17.6, 18.4]",15.4,,0.2857,False,[]
237,DOGS/USDT,LONG,"[0.001035, 0.00101]",0.0010225,[],0.00098,,,False,[]
238,EIGEN/USDT,LONG,[],,"[3.8, 3.91]",3.69,,,False,[]
239,WOO/USDT,LONG,[],,"[0.1955, 0.201]",0.19,,,False,[]
240,FARTCOIN/USDT,LONG,"[0.995, 0.975]",0.985,"[1.015, 1.035, 1.055, 1.075, 1.095]",0.93575,5.0,0.6091,False,[]
241,USD/TRY,LONG,[40.55],40.55,"[40.75, 40.8]",40.45,,2.0,False,[]
242,SUI/USDT,LONG,[],,"[4.4, 5.4]",2.0,,,False,[]
243,SFP/USDT,LONG,"[0.3967, 0.37765]",0.387175,"[0.39868, 0.40304, 0.41018, 0.41415, 0.4197, 0.42803, 0.43438, 0.45461]",0.36893,,0.6306,False,[]
244,,,[],,[],,,,False,"[""PARSE_FAILED""]"
245,MKR/USDT,LONG,[1880.0],1880.0,"[30.0, 1920.0, 1960.0, 2100.0, 2400.0, 2444.0]",1834.0,,40.2174,False,[]
